acc_x,acc_y,acc_z
-0.02,-0.037,0.003
-0.02,-0.036,0.003
-0.019,-0.038,0.002
-0.019,-0.039,0.0
-0.018,-0.04,-0.001
-0.018,-0.041,-0.001
-0.018,-0.041,-0.002
-0.018,-0.042,-0.002
-0.018,-0.042,-0.003
-0.017,-0.042,-0.003
-0.017,-0.043,-0.003
-0.017,-0.043,-0.004
-0.017,-0.042,-0.003
-0.018,-0.042,-0.002
-0.018,-0.042,-0.002
-0.018,-0.041,-0.002
-0.018,-0.041,-0.001
-0.018,-0.041,-0.001
-0.018,-0.041,-0.001
-0.018,-0.041,-0.001
-0.018,-0.041,-0.001
-0.018,-0.041,-0.001
-0.018,-0.04,-0.0
-0.019,-0.039,-0.0
-0.019,-0.039,0.0
-0.019,-0.038,0.0
-0.019,-0.038,0.0
-0.019,-0.038,0.0
-0.019,-0.038,0.0
-0.019,-0.037,0.001
-0.019,-0.037,0.001
-0.019,-0.037,0.001
-0.02,-0.035,0.001
-0.021,-0.034,0.002
-0.021,-0.033,0.003
-0.021,-0.032,0.003
-0.022,-0.032,0.003
-0.022,-0.031,0.004
-0.022,-0.031,0.004
-0.022,-0.03,0.004
-0.023,-0.03,0.004
-0.023,-0.03,0.004
-0.022,-0.031,0.002
-0.021,-0.032,0.001
-0.021,-0.032,-0.0
-0.02,-0.033,-0.001
-0.02,-0.033,-0.002
-0.02,-0.033,-0.003
-0.02,-0.034,-0.003
-0.02,-0.034,-0.003
-0.019,-0.034,-0.004
-0.019,-0.034,-0.004
-0.019,-0.035,-0.002
-0.018,-0.035,-0.001
-0.018,-0.036,0.001
-0.018,-0.036,0.002
-0.018,-0.037,0.002
-0.018,-0.037,0.003
-0.017,-0.037,0.004
-0.017,-0.037,0.004
-0.017,-0.037,0.004
-0.017,-0.037,0.005
-0.017,-0.039,0.004
-0.016,-0.04,0.003
-0.016,-0.041,0.002
-0.015,-0.042,0.001
-0.015,-0.042,0.001
-0.015,-0.043,0.001
-0.015,-0.043,0.0
-0.015,-0.043,0.0
-0.014,-0.044,-0.0
-0.014,-0.044,-0.0
-0.02,-0.05,0.003
-0.024,-0.056,0.005
-0.028,-0.06,0.007
-0.03,-0.063,0.009
-0.032,-0.066,0.01
-0.034,-0.068,0.011
-0.036,-0.07,0.012
-0.037,-0.072,0.013
-0.038,-0.073,0.013
-0.038,-0.074,0.014
-0.011,-0.099,0.015
0.012,-0.12,0.017
0.029,-0.136,0.018
0.044,-0.149,0.019
0.055,-0.16,0.02
0.064,-0.168,0.021
0.071,-0.175,0.021
0.077,-0.18,0.021
0.082,-0.184,0.022
0.086,-0.188,0.022
0.07,-0.169,0.018
0.057,-0.154,0.015
0.046,-0.142,0.012
0.038,-0.133,0.01
0.032,-0.125,0.009
0.026,-0.119,0.007
0.022,-0.114,0.006
0.019,-0.11,0.006
0.016,-0.107,0.005
0.014,-0.105,0.004
0.006,-0.082,-0.006
0.001,-0.063,-0.014
-0.004,-0.049,-0.021
-0.008,-0.037,-0.027
-0.011,-0.027,-0.031
-0.014,-0.02,-0.034
-0.015,-0.014,-0.037
-0.017,-0.009,-0.039
-0.018,-0.005,-0.041
-0.019,-0.002,-0.042
-0.022,-0.005,-0.023
-0.025,-0.007,-0.007
-0.027,-0.009,0.005
-0.029,-0.011,0.015
-0.03,-0.012,0.023
-0.031,-0.013,0.029
-0.032,-0.014,0.034
-0.032,-0.014,0.038
-0.033,-0.015,0.042
-0.033,-0.015,0.044
-0.041,-0.003,0.033
-0.048,0.007,0.023
-0.053,0.015,0.016
-0.057,0.022,0.01
-0.06,0.027,0.005
-0.062,0.031,0.001
-0.065,0.034,-0.002
-0.066,0.037,-0.004
-0.068,0.039,-0.006
-0.069,0.041,-0.008
-0.066,0.006,-0.041
-0.065,-0.021,-0.068
-0.063,-0.043,-0.09
-0.062,-0.061,-0.107
-0.061,-0.075,-0.121
-0.061,-0.086,-0.132
-0.06,-0.095,-0.14
-0.06,-0.102,-0.148
-0.059,-0.108,-0.153
-0.059,-0.112,-0.158
-0.052,-0.069,-0.117
-0.046,-0.033,-0.085
-0.041,-0.005,-0.059
-0.038,0.017,-0.039
-0.035,0.035,-0.022
-0.032,0.049,-0.009
-0.031,0.061,0.001
-0.029,0.07,0.01
-0.028,0.077,0.017
-0.027,0.083,0.022
-0.038,0.088,0.034
-0.047,0.092,0.043
-0.055,0.095,0.05
-0.061,0.097,0.056
-0.065,0.099,0.061
-0.069,0.101,0.065
-0.072,0.102,0.068
-0.074,0.103,0.07
-0.076,0.104,0.072
-0.078,0.105,0.074
-0.088,0.101,0.063
-0.096,0.098,0.054
-0.102,0.096,0.046
-0.107,0.094,0.041
-0.111,0.093,0.036
-0.114,0.092,0.032
-0.117,0.091,0.029
-0.119,0.09,0.027
-0.121,0.089,0.025
-0.122,0.089,0.024
-0.101,0.117,0.024
-0.085,0.139,0.025
-0.071,0.157,0.025
-0.061,0.171,0.026
-0.052,0.183,0.026
-0.045,0.192,0.026
-0.04,0.199,0.026
-0.035,0.205,0.027
-0.032,0.21,0.027
-0.029,0.214,0.027
-0.037,0.214,0.003
-0.043,0.214,-0.015
-0.048,0.214,-0.03
-0.052,0.214,-0.042
-0.055,0.215,-0.052
-0.057,0.215,-0.06
-0.059,0.215,-0.066
-0.061,0.215,-0.071
-0.062,0.215,-0.075
-0.063,0.215,-0.078
-0.056,0.225,-0.067
-0.051,0.233,-0.059
-0.047,0.239,-0.052
-0.043,0.244,-0.047
-0.04,0.248,-0.043
-0.038,0.251,-0.039
-0.036,0.254,-0.036
-0.035,0.256,-0.034
-0.034,0.258,-0.033
-0.033,0.259,-0.031
-0.051,0.259,-0.072
-0.065,0.259,-0.105
-0.077,0.259,-0.132
-0.086,0.259,-0.153
-0.093,0.259,-0.17
