acc_x,acc_y,acc_z
0.005,0.019,-0.007
0.005,0.019,-0.007
0.005,0.019,-0.008
0.005,0.019,-0.008
0.005,0.019,-0.008
0.005,0.02,-0.009
0.005,0.02,-0.01
0.005,0.02,-0.011
0.005,0.02,-0.012
0.005,0.02,-0.013
0.005,0.02,-0.013
0.005,0.02,-0.013
0.005,0.021,-0.014
0.005,0.021,-0.014
0.005,0.021,-0.014
0.004,0.021,-0.013
0.004,0.021,-0.013
0.004,0.021,-0.012
0.003,0.021,-0.012
0.003,0.021,-0.011
0.003,0.021,-0.011
0.003,0.021,-0.011
0.003,0.021,-0.011
0.003,0.021,-0.01
0.003,0.021,-0.01
0.003,0.02,-0.009
0.003,0.019,-0.008
0.004,0.018,-0.008
0.004,0.018,-0.007
0.004,0.017,-0.006
0.004,0.017,-0.006
0.004,0.016,-0.006
0.004,0.016,-0.006
0.004,0.016,-0.005
0.004,0.016,-0.005
0.004,0.017,-0.004
0.004,0.018,-0.004
0.004,0.019,-0.003
0.004,0.019,-0.003
0.004,0.02,-0.002
0.005,0.02,-0.002
0.005,0.021,-0.002
0.005,0.021,-0.002
0.005,0.021,-0.002
0.005,0.021,-0.002
0.005,0.021,-0.002
0.006,0.021,-0.002
0.006,0.021,-0.002
0.006,0.021,-0.002
0.007,0.021,-0.002
0.007,0.021,-0.002
0.007,0.021,-0.002
0.007,0.021,-0.002
0.007,0.021,-0.002
0.007,0.021,-0.002
0.006,0.02,-0.003
0.004,0.019,-0.003
0.003,0.018,-0.003
0.002,0.018,-0.004
0.002,0.017,-0.004
0.001,0.017,-0.004
0.001,0.016,-0.004
0.001,0.016,-0.004
0.0,0.016,-0.004
0.0,0.016,-0.004
0.001,0.015,-0.004
0.001,0.014,-0.003
0.001,0.014,-0.003
0.002,0.013,-0.002
0.002,0.013,-0.002
0.002,0.013,-0.002
0.002,0.013,-0.001
0.002,0.012,-0.001
0.002,0.012,-0.001
0.003,0.012,-0.001
0.002,0.013,-0.001
0.002,0.013,-0.001
0.002,0.014,-0.0
0.002,0.014,-0.0
0.002,0.014,-0.0
0.002,0.015,-0.0
0.002,0.015,0.0
0.002,0.015,0.0
0.002,0.015,0.0
0.002,0.015,0.0
0.002,0.016,-0.001
0.001,0.016,-0.002
0.001,0.017,-0.002
0.001,0.017,-0.003
0.001,0.017,-0.003
0.001,0.018,-0.004
0.001,0.018,-0.004
0.001,0.018,-0.004
0.001,0.018,-0.004
0.001,0.018,-0.004
0.0,0.018,-0.004
-0.0,0.017,-0.003
-0.001,0.017,-0.003
-0.001,0.016,-0.003
-0.001,0.016,-0.002
-0.001,0.016,-0.002
-0.002,0.016,-0.002
-0.002,0.016,-0.002
-0.002,0.016,-0.002
-0.002,0.015,-0.002
-0.001,0.015,-0.002
0.0,0.015,-0.002
0.001,0.015,-0.003
0.001,0.015,-0.003
0.002,0.015,-0.003
0.002,0.015,-0.003
0.003,0.015,-0.003
0.003,0.015,-0.003
0.003,0.015,-0.003
0.003,0.015,-0.003
0.003,0.015,-0.004
0.003,0.015,-0.004
0.003,0.015,-0.004
0.003,0.015,-0.005
0.003,0.015,-0.005
0.003,0.015,-0.005
0.003,0.015,-0.005
0.003,0.015,-0.005
0.003,0.015,-0.005
0.003,0.015,-0.006
0.002,0.016,-0.004
0.002,0.016,-0.004
0.001,0.016,-0.003
0.001,0.017,-0.002
0.001,0.017,-0.002
0.001,0.017,-0.002
0.001,0.017,-0.001
0.001,0.017,-0.001
0.001,0.017,-0.001
0.0,0.017,-0.001
0.001,0.016,-0.001
0.002,0.015,-0.002
0.003,0.014,-0.002
0.003,0.014,-0.002
0.003,0.013,-0.002
0.004,0.013,-0.003
0.004,0.013,-0.003
0.004,0.012,-0.003
0.004,0.012,-0.003
0.004,0.012,-0.003
0.004,0.014,-0.003
0.004,0.015,-0.003
0.004,0.016,-0.003
0.004,0.017,-0.003
0.004,0.018,-0.003
0.004,0.018,-0.003
0.004,0.019,-0.003
0.004,0.019,-0.002
0.004,0.019,-0.002
0.004,0.019,-0.002
0.004,0.019,-0.002
0.003,0.019,-0.002
0.003,0.019,-0.002
0.003,0.019,-0.002
0.002,0.019,-0.002
0.002,0.019,-0.002
0.002,0.019,-0.002
0.002,0.019,-0.002
0.002,0.019,-0.002
0.002,0.019,-0.002
0.001,0.018,-0.003
0.001,0.017,-0.004
0.001,0.016,-0.005
0.0,0.016,-0.005
0.0,0.015,-0.006
0.0,0.015,-0.006
-0.0,0.015,-0.006
-0.0,0.014,-0.006
-0.0,0.014,-0.007
-0.0,0.014,-0.007
0.007,0.004,-0.006
0.014,-0.004,-0.006
0.019,-0.011,-0.006
0.022,-0.016,-0.006
0.026,-0.02,-0.006
0.028,-0.023,-0.005
0.03,-0.026,-0.005
0.032,-0.028,-0.005
0.033,-0.03,-0.005
0.034,-0.031,-0.005
0.011,-0.007,0.005
-0.008,0.012,0.014
-0.023,0.027,0.02
-0.035,0.039,0.026
-0.044,0.049,0.03
-0.052,0.057,0.033
-0.058,0.063,0.036
-0.063,0.068,0.038
-0.067,0.072,0.04
-0.07,0.075,0.042
-0.069,0.097,0.043
-0.068,0.114,0.044
-0.067,0.128,0.045
-0.067,0.139,0.046
-0.066,0.148,0.046
-0.066,0.155,0.047
-0.066,0.16,0.047
-0.065,0.165,0.047
-0.065,0.169,0.047
-0.065,0.172,0.048
-0.101,0.169,0.031
-0.13,0.167,0.017
-0.154,0.165,0.006
-0.172,0.164,-0.003
-0.187,0.163,-0.01
-0.199,0.162,-0.015
-0.209,0.161,-0.02
-0.216,0.16,-0.023
-0.222,0.16,-0.026
-0.227,0.16,-0.028
-0.222,0.157,-0.027
-0.217,0.155,-0.026
-0.214,0.153,-0.025
-0.211,0.151,-0.025
-0.209,0.15,-0.024
-0.207,0.149,-0.024
-0.206,0.149,-0.023
-0.205,0.148,-0.023
-0.204,0.148,-0.023
-0.203,0.147,-0.023
-0.175,0.136,-0.004
-0.152,0.127,0.011
-0.134,0.12,0.023
-0.119,0.114,0.033
-0.107,0.109,0.04
-0.098,0.106,0.047
-0.091,0.103,0.051
-0.085,0.1,0.055
-0.08,0.098,0.059
-0.076,0.097,0.061
-0.086,0.086,0.038
-0.095,0.077,0.019
-0.101,0.07,0.005
-0.106,0.065,-0.007
-0.111,0.06,-0.017
-0.114,0.057,-0.024
-0.117,0.054,-0.03
-0.119,0.052,-0.035
-0.12,0.05,-0.039
-0.122,0.048,-0.042
-0.117,0.05,-0.041
-0.113,0.051,-0.039
-0.11,0.052,-0.038
-0.107,0.052,-0.038
-0.105,0.053,-0.037
-0.104,0.053,-0.037
-0.102,0.054,-0.036
-0.101,0.054,-0.036
-0.101,0.054,-0.036
-0.1,0.054,-0.035
-0.098,0.044,-0.025
-0.096,0.035,-0.017
-0.095,0.028,-0.01
-0.094,0.023,-0.005
-0.094,0.019,-0.0
-0.093,0.015,0.003
-0.092,0.012,0.006
-0.092,0.01,0.008
-0.092,0.008,0.01
-0.091,0.007,0.011
-0.092,0.02,0.003
-0.092,0.03,-0.003
-0.092,0.039,-0.008
-0.092,0.045,-0.012
-0.093,0.051,-0.015
-0.093,0.055,-0.017
-0.093,0.058,-0.019
-0.093,0.061,-0.021
-0.093,0.063,-0.022
-0.093,0.065,-0.023
-0.093,0.059,-0.013
-0.093,0.055,-0.005
-0.093,0.051,0.002
-0.093,0.048,0.007
-0.093,0.045,0.012
-0.093,0.044,0.015
-0.093,0.042,0.018
-0.093,0.041,0.02
-0.093,0.04,0.022
-0.093,0.039,0.023
-0.086,0.037,0.012
-0.081,0.036,0.004
-0.077,0.035,-0.003
-0.074,0.035,-0.008
-0.071,0.034,-0.013
-0.069,0.033,-0.016
-0.067,0.033,-0.019
-0.066,0.033,-0.021
-0.065,0.032,-0.023
-0.064,0.032,-0.024
-0.057,0.033,-0.01
-0.052,0.033,0.001
-0.048,0.034,0.01
-0.044,0.034,0.018
-0.042,0.034,0.024
-0.039,0.034,0.028
-0.038,0.035,0.032
-0.036,0.035,0.035
-0.035,0.035,0.037
-0.034,0.035,0.039
-0.019,0.024,0.033
-0.006,0.016,0.027
0.003,0.009,0.023
0.011,0.004,0.019
0.018,-0.0,0.017
0.023,-0.004,0.014
0.027,-0.007,0.013
0.03,-0.009,0.011
0.033,-0.011,0.01
0.035,-0.012,0.009
0.035,0.002,-0.002
0.035,0.012,-0.01
0.035,0.021,-0.017
0.035,0.028,-0.023
0.035,0.033,-0.028
0.035,0.038,-0.031
0.035,0.041,-0.034
0.035,0.044,-0.036
0.035,0.047,-0.038
0.035,0.048,-0.04
0.035,0.049,-0.035
0.035,0.05,-0.032
0.035,0.05,-0.029
0.035,0.051,-0.027
0.034,0.051,-0.025
0.034,0.051,-0.024
0.034,0.051,-0.023
0.034,0.052,-0.022
0.034,0.052,-0.021
0.034,0.052,-0.021
0.036,0.065,-0.019
0.038,0.076,-0.018
0.04,0.085,-0.017
0.041,0.092,-0.016
0.042,0.098,-0.016
0.043,0.102,-0.015
0.044,0.106,-0.015
0.044,0.108,-0.014
0.045,0.111,-0.014
0.045,0.113,-0.014
0.052,0.105,-0.018
0.058,0.099,-0.021
0.063,0.094,-0.023
0.066,0.09,-0.025
0.069,0.087,-0.027
0.072,0.085,-0.028
0.074,0.083,-0.029
0.075,0.081,-0.03
0.076,0.08,-0.03
0.077,0.079,-0.031
0.074,0.066,-0.026
0.072,0.056,-0.022
0.07,0.048,-0.019
0.069,0.041,-0.016
0.067,0.036,-0.014
0.066,0.032,-0.012
0.066,0.029,-0.011
0.065,0.026,-0.01
0.064,0.024,-0.009
0.064,0.022,-0.009
0.061,0.001,-0.01
0.058,-0.016,-0.012
0.056,-0.029,-0.013
0.054,-0.04,-0.014
0.053,-0.049,-0.014
0.052,-0.055,-0.015
0.051,-0.061,-0.015
0.05,-0.065,-0.016
0.05,-0.069,-0.016
0.049,-0.072,-0.016
0.037,-0.081,-0.016
0.027,-0.088,-0.016
0.019,-0.094,-0.015
0.013,-0.099,-0.015
0.007,-0.103,-0.015
0.003,-0.106,-0.015
0.0,-0.108,-0.015
-0.003,-0.11,-0.015
-0.005,-0.112,-0.015
-0.006,-0.113,-0.015
-0.015,-0.112,-0.008
-0.022,-0.111,-0.003
-0.028,-0.11,0.001
-0.032,-0.11,0.004
-0.036,-0.109,0.006
-0.039,-0.109,0.008
-0.041,-0.109,0.01
-0.043,-0.109,0.011
-0.044,-0.108,0.012
-0.045,-0.108,0.013
-0.043,-0.085,0.014
-0.042,-0.067,0.015
-0.041,-0.052,0.015
-0.04,-0.041,0.015
-0.039,-0.031,0.016
-0.038,-0.024,0.016
-0.038,-0.018,0.016
-0.037,-0.013,0.016
-0.037,-0.009,0.016
-0.037,-0.006,0.016
-0.029,-0.0,0.018
-0.024,0.004,0.02
-0.019,0.008,0.022
-0.015,0.01,0.023
-0.013,0.013,0.024
-0.01,0.014,0.024
-0.008,0.016,0.025
-0.007,0.017,0.025
