acc_x,acc_y,acc_z
0.001,-0.042,0.002
0.001,-0.043,0.002
0.001,-0.043,0.002
0.002,-0.043,0.002
0.002,-0.044,0.002
0.002,-0.044,0.002
0.002,-0.044,0.002
0.002,-0.044,0.002
0.002,-0.042,0.002
0.002,-0.041,0.001
0.001,-0.04,0.001
0.001,-0.04,0.0
0.001,-0.039,0.0
0.001,-0.038,0.0
0.001,-0.038,-0.0
0.001,-0.038,-0.0
0.001,-0.037,-0.0
0.001,-0.037,-0.0
0.001,-0.038,0.001
0.002,-0.039,0.002
0.002,-0.04,0.003
0.003,-0.04,0.003
0.003,-0.041,0.004
0.003,-0.041,0.004
0.003,-0.041,0.004
0.004,-0.041,0.005
0.004,-0.042,0.005
0.004,-0.042,0.005
0.004,-0.041,0.004
0.005,-0.04,0.003
0.005,-0.039,0.002
0.006,-0.038,0.002
0.006,-0.038,0.002
0.006,-0.037,0.001
0.007,-0.037,0.001
0.007,-0.037,0.001
0.007,-0.036,0.001
0.007,-0.036,0.0
0.005,-0.038,0.001
0.004,-0.039,0.002
0.003,-0.04,0.002
0.003,-0.041,0.003
0.002,-0.042,0.003
0.002,-0.042,0.003
0.001,-0.043,0.004
0.001,-0.043,0.004
0.001,-0.043,0.004
0.0,-0.043,0.004
0.001,-0.042,0.003
0.002,-0.041,0.003
0.002,-0.04,0.002
0.003,-0.039,0.002
0.003,-0.038,0.002
0.003,-0.038,0.001
0.004,-0.037,0.001
0.004,-0.037,0.001
0.004,-0.037,0.001
0.004,-0.037,0.001
0.004,-0.036,0.001
0.004,-0.036,0.002
0.003,-0.035,0.002
0.003,-0.035,0.003
0.003,-0.035,0.003
0.003,-0.034,0.003
0.003,-0.034,0.003
0.003,-0.034,0.003
0.003,-0.034,0.003
0.003,-0.034,0.003
0.005,-0.035,0.003
0.006,-0.035,0.003
0.007,-0.036,0.003
0.008,-0.036,0.003
0.009,-0.036,0.003
0.009,-0.036,0.003
0.01,-0.037,0.003
0.01,-0.037,0.003
0.01,-0.037,0.003
0.01,-0.037,0.003
0.009,-0.037,0.002
0.008,-0.037,0.001
0.007,-0.037,0.0
0.006,-0.037,-0.001
0.005,-0.037,-0.001
0.004,-0.037,-0.001
0.004,-0.037,-0.002
0.004,-0.038,-0.002
0.003,-0.038,-0.002
0.003,-0.038,-0.002
0.002,-0.039,-0.002
0.002,-0.04,-0.002
0.001,-0.041,-0.002
0.001,-0.042,-0.001
0.001,-0.042,-0.001
0.0,-0.043,-0.001
0.0,-0.043,-0.001
0.0,-0.044,-0.001
-0.0,-0.044,-0.001
-0.0,-0.044,-0.001
0.002,-0.043,0.0
0.003,-0.043,0.001
0.005,-0.043,0.002
0.006,-0.042,0.003
0.006,-0.042,0.003
0.007,-0.042,0.004
0.008,-0.042,0.004
0.008,-0.042,0.004
0.008,-0.042,0.005
0.009,-0.042,0.005
0.008,-0.041,0.004
0.007,-0.04,0.003
0.007,-0.039,0.002
0.006,-0.039,0.002
0.006,-0.039,0.001
0.006,-0.038,0.001
0.006,-0.038,0.001
0.005,-0.038,0.0
0.005,-0.038,0.0
0.005,-0.038,0.0
0.005,-0.037,0.001
0.005,-0.036,0.002
0.005,-0.035,0.003
0.005,-0.035,0.003
0.005,-0.035,0.004
0.005,-0.034,0.004
0.005,-0.034,0.004
0.005,-0.034,0.004
0.005,-0.034,0.005
0.005,-0.033,0.005
0.004,-0.035,0.003
0.004,-0.035,0.002
0.003,-0.036,0.001
0.003,-0.037,0.001
0.003,-0.037,0.0
0.003,-0.037,-0.0
0.003,-0.038,-0.001
0.003,-0.038,-0.001
0.002,-0.038,-0.001
0.002,-0.038,-0.001
0.003,-0.039,-0.001
0.003,-0.039,-0.001
0.003,-0.039,-0.001
0.003,-0.039,-0.001
0.003,-0.039,-0.001
0.003,-0.04,-0.001
0.004,-0.04,-0.001
0.004,-0.04,-0.001
0.004,-0.04,-0.001
0.004,-0.04,-0.0
0.005,-0.04,-0.0
0.005,-0.04,-0.0
0.006,-0.039,0.0
0.006,-0.039,0.0
0.007,-0.039,0.0
0.007,-0.039,0.0
0.007,-0.039,0.0
0.007,-0.039,0.0
0.008,-0.039,0.0
0.008,-0.039,0.0
0.007,-0.04,0.0
0.006,-0.04,0.0
0.006,-0.04,0.001
0.005,-0.04,0.001
0.005,-0.04,0.001
0.004,-0.041,0.001
0.004,-0.041,0.001
0.004,-0.041,0.001
0.004,-0.041,0.001
0.004,-0.041,0.001
0.004,-0.039,0.001
0.004,-0.038,0.001
0.004,-0.037,0.001
0.004,-0.036,0.001
0.004,-0.036,0.001
0.004,-0.035,0.001
0.004,-0.035,0.001
0.004,-0.035,0.001
0.004,-0.034,0.001
0.004,-0.034,0.001
0.004,-0.035,0.002
0.004,-0.035,0.002
0.005,-0.036,0.002
0.005,-0.036,0.002
0.005,-0.037,0.002
0.005,-0.037,0.002
0.005,-0.037,0.002
0.005,-0.037,0.002
0.005,-0.037,0.002
0.006,-0.037,0.002
0.005,-0.038,0.002
0.005,-0.038,0.001
0.005,-0.038,0.001
0.005,-0.038,0.001
0.005,-0.038,0.001
0.005,-0.038,0.001
0.005,-0.038,0.001
0.005,-0.038,0.001
0.005,-0.038,0.001
0.005,-0.038,0.001
0.005,-0.038,0.002
0.005,-0.038,0.003
0.004,-0.038,0.003
0.004,-0.038,0.004
0.004,-0.037,0.004
0.004,-0.037,0.005
0.004,-0.037,0.005
0.004,-0.037,0.005
0.004,-0.037,0.005
0.004,-0.037,0.006
0.004,-0.036,0.005
0.004,-0.035,0.004
0.003,-0.034,0.003
0.003,-0.033,0.002
0.003,-0.033,0.002
0.003,-0.032,0.002
0.003,-0.032,0.001
0.003,-0.032,0.001
0.003,-0.031,0.001
0.003,-0.031,0.001
0.003,-0.032,0.001
0.003,-0.033,0.002
0.003,-0.034,0.002
0.003,-0.035,0.002
0.003,-0.035,0.003
0.003,-0.036,0.003
0.003,-0.036,0.003
0.003,-0.036,0.003
0.003,-0.037,0.003
0.003,-0.037,0.003
0.004,-0.037,0.003
0.005,-0.037,0.002
0.006,-0.038,0.002
0.006,-0.038,0.002
0.007,-0.038,0.001
0.007,-0.038,0.001
0.007,-0.038,0.001
0.007,-0.038,0.001
0.008,-0.039,0.001
0.008,-0.039,0.001
0.006,-0.039,0.001
0.005,-0.039,0.001
0.004,-0.039,0.001
0.003,-0.039,0.001
0.002,-0.039,0.001
0.001,-0.039,0.001
0.001,-0.039,0.001
0.001,-0.039,0.001
0.0,-0.039,0.001
0.0,-0.039,0.001
0.001,-0.039,0.001
0.002,-0.038,0.001
0.003,-0.038,0.002
0.004,-0.038,0.002
0.005,-0.038,0.002
0.005,-0.038,0.002
0.005,-0.038,0.002
0.006,-0.038,0.002
0.006,-0.038,0.002
0.006,-0.038,0.002
0.006,-0.037,0.003
0.006,-0.036,0.004
0.006,-0.036,0.005
0.006,-0.035,0.006
0.007,-0.035,0.006
0.007,-0.035,0.007
0.007,-0.035,0.007
0.007,-0.034,0.007
0.007,-0.034,0.007
0.007,-0.034,0.007
0.006,-0.035,0.007
0.005,-0.035,0.007
0.005,-0.035,0.006
0.004,-0.035,0.006
0.004,-0.036,0.006
0.004,-0.036,0.006
0.003,-0.036,0.006
0.003,-0.036,0.006
0.003,-0.036,0.006
0.003,-0.036,0.005
0.003,-0.035,0.005
0.004,-0.035,0.005
0.004,-0.034,0.005
0.004,-0.034,0.005
0.004,-0.034,0.005
0.004,-0.034,0.005
0.004,-0.033,0.005
0.005,-0.033,0.005
0.005,-0.033,0.005
0.005,-0.033,0.005
0.004,-0.033,0.004
0.003,-0.032,0.004
0.003,-0.032,0.004
0.002,-0.032,0.004
0.002,-0.032,0.004
0.002,-0.032,0.004
0.001,-0.031,0.004
0.001,-0.031,0.003
0.001,-0.031,0.003
0.001,-0.031,0.003
0.001,-0.033,0.002
0.002,-0.035,0.0
0.002,-0.036,-0.001
0.002,-0.037,-0.001
0.002,-0.038,-0.002
0.002,-0.038,-0.003
0.002,-0.039,-0.003
0.002,-0.039,-0.003
0.002,-0.04,-0.004
0.002,-0.04,-0.004
0.002,-0.04,-0.002
0.003,-0.04,-0.001
0.003,-0.041,-0.0
0.003,-0.041,0.001
0.003,-0.041,0.001
0.003,-0.041,0.002
0.003,-0.041,0.002
0.003,-0.041,0.003
0.003,-0.041,0.003
0.003,-0.041,0.003
0.002,-0.041,0.003
0.002,-0.04,0.003
0.002,-0.04,0.003
0.001,-0.039,0.003
0.001,-0.039,0.003
0.001,-0.039,0.003
0.001,-0.039,0.003
0.001,-0.038,0.003
0.001,-0.038,0.003
0.001,-0.038,0.003
0.001,-0.039,0.002
0.002,-0.039,0.001
0.002,-0.04,0.0
0.003,-0.04,-0.001
0.003,-0.04,-0.001
0.003,-0.041,-0.002
0.004,-0.041,-0.002
0.004,-0.041,-0.002
0.004,-0.041,-0.002
0.004,-0.041,-0.003
0.004,-0.041,-0.002
0.004,-0.04,-0.002
0.004,-0.04,-0.001
0.004,-0.04,-0.001
0.004,-0.039,-0.001
0.004,-0.039,-0.0
0.004,-0.039,-0.0
0.004,-0.039,-0.0
0.004,-0.039,-0.0
0.004,-0.039,0.0
0.003,-0.039,-0.001
0.002,-0.039,-0.001
0.002,-0.039,-0.002
0.001,-0.04,-0.002
0.001,-0.04,-0.003
0.001,-0.04,-0.003
0.0,-0.04,-0.003
0.0,-0.04,-0.003
-0.0,-0.04,-0.003
-0.0,-0.04,-0.003
-0.0,-0.039,-0.002
-0.0,-0.038,-0.0
-0.0,-0.038,0.001
-0.0,-0.037,0.002
-0.0,-0.037,0.003
-0.0,-0.036,0.003
-0.0,-0.036,0.004
-0.0,-0.036,0.004
-0.0,-0.036,0.004
-0.0,-0.036,0.004
0.0,-0.036,0.004
0.0,-0.037,0.003
0.001,-0.037,0.002
0.001,-0.037,0.002
0.001,-0.037,0.001
0.001,-0.038,0.001
0.001,-0.038,0.001
0.001,-0.038,0.001
0.001,-0.038,0.0
0.001,-0.038,0.0
0.002,-0.038,-0.001
0.002,-0.038,-0.001
0.003,-0.038,-0.002
0.003,-0.038,-0.002
0.004,-0.038,-0.003
0.004,-0.038,-0.003
0.004,-0.038,-0.003
0.004,-0.038,-0.004
0.004,-0.038,-0.004
0.004,-0.038,-0.004
0.004,-0.038,-0.003
0.003,-0.038,-0.001
0.003,-0.038,-0.001
0.002,-0.038,0.0
0.002,-0.038,0.001
0.002,-0.038,0.001
0.002,-0.038,0.001
0.001,-0.038,0.002
0.001,-0.037,0.002
0.001,-0.037,0.002
0.002,-0.037,0.002
